Date,Open,High,Low,Close,Volume
2018-01-02,103.51666431416889,106.23403679156993,103.14611418078846,106.22454071044922,11014300
2018-01-03,106.59507955402344,107.54520948747891,105.89197818404678,106.68058776855469,9237900
2018-01-04,107.3171823094014,107.36469170972462,106.06301097938608,106.63309478759766,7417400
2018-01-05,107.06064804754561,107.06064804754561,105.69245853610202,106.05351257324219,6008300
2018-01-08,105.35991034991936,105.73046045322938,104.07723635777572,104.53329467773438,8052600
2018-01-09,104.63780277088291,105.33140078404848,104.38127088864766,104.45728302001953,5838000
2018-01-10,104.4762809116073,104.98935191754484,103.5736604236472,104.0107192993164,6060000
2018-01-11,104.75183137436132,105.54044100562709,104.04873721161326,105.45492553710938,6427000
2018-01-12,105.76846363149376,107.09864698470881,105.46442234352313,106.86111450195312,5899900
2018-01-16,107.43119034013526,107.51670580282983,105.10337492322759,105.16988372802734,8069200
2018-01-17,105.6544584258015,106.61409180386715,105.05587910524092,106.38606262207031,7030700
2018-01-18,106.16751655702066,106.40504903998718,104.70431559207694,104.91334533691406,8070900
2018-01-19,105.4359212673211,105.54993222153459,104.362269789036,105.07486724853516,10514300
2018-01-22,104.770815835262,105.99648421707502,104.57128943574575,105.5594253540039,8073600
2018-01-23,104.77082950416911,105.59744519479393,104.40978272207138,104.90385437011719,7477300
2018-01-24,105.42640823027861,105.87297042360429,104.78982296481738,104.98934936523438,7211800
2018-01-25,105.08438264656986,106.2435424736439,104.62832427950546,105.03688049316406,6291000
2018-01-26,105.2838935922591,106.91811820636315,105.15087598403352,106.59507751464844,7743800
2018-01-29,106.50956372740048,106.84210775319276,105.69245140750165,105.97749328613281,6847800
2018-01-30,105.863472793631,106.81360270328251,104.60930160284765,104.61880493164062,8393900
2018-01-31,104.59030466468984,104.62831073184356,103.0605948941046,103.25061798095703,9841400
2018-02-01,103.20311999311905,105.13188267317939,102.00595420073398,104.9798583984375,9518900
2018-02-02,104.46679153899059,105.06537808367509,103.04159652618625,103.27912902832031,9947700
2018-02-05,101.758920606367,103.21261833305678,98.82302241307846,99.47860717773438,15107900
2018-02-06,97.74937645668766,100.90380791731523,96.685235445195,100.87530517578125,17765100
2018-02-07,102.45252047694561,102.64254357893176,99.20307759013231,99.5356216430664,12445000
2018-02-08,100.21021552210378,100.5427595831462,96.14366014954642,96.2956771850586,12667500
2018-02-09,97.435826904548,98.57597991727779,95.26002850204611,97.94889068603516,12479700
2018-02-12,98.74700352516234,99.4215949029302,97.00826402038422,98.23393249511719,9584700
2018-02-13,97.52134045247446,99.10805577746646,97.29331128723953,98.92753601074219,8447900
2018-02-14,98.32895342886167,99.53562260983557,97.56885376461767,99.38359832763672,7425700
2018-02-15,100.105700819857,100.30522725684337,98.74701458321165,99.93467712402344,6494700
2018-02-16,99.94419055722265,101.99646786576962,99.94419055722265,101.21736145019531,8746400
2018-02-20,101.06532855456815,102.20548163068973,100.25771227265587,100.69477844238281,6734500
2018-02-21,100.71377780734475,101.57839956800093,99.78264723809323,99.8111572265625,6743300
2018-02-22,100.05817750425173,100.72327278396621,99.69713075166332,99.99166870117188,4462200
2018-02-23,100.4762484677188,102.00595836236525,100.17220715474714,101.90144348144531,6101100
2018-02-26,102.61404531197631,104.33377838134766,102.30050065600518,104.33377838134766,8138200
2018-02-27,102.61401746794465,102.76604171404304,99.6211071753466,99.6401138305664,14179600
2018-02-28,100.1912104322302,100.30522864733881,97.99641234603773,98.01541900634766,10760800
2018-03-01,98.05342095209096,98.84203065497911,96.27668234912471,97.45484161376953,10487300
2018-03-02,96.9132552121048,98.02490551744492,96.3811847580445,97.8538818359375,7835400
2018-03-05,97.58784960934835,98.78501541670843,97.31231104461932,98.25294494628906,5736700
2018-03-06,98.81352521349798,99.71614586155448,98.34796351863116,99.70664978027344,6216200
2018-03-07,98.54749463518071,99.04155909516714,97.64486669537922,98.4239730834961,6214800
2018-03-08,98.804019685806,99.37409625342143,98.30995526025045,98.84202575683594,6627000
2018-03-09,99.22206871760281,99.52611000474897,98.47146520426031,99.50711059570312,5618400
2018-03-12,99.49761529570142,100.65677506177109,99.49761529570142,99.9251708984375,6485300
2018-03-13,100.55225541412108,100.55225541412108,98.26243873086861,98.5569839477539,6716700
2018-03-14,99.31709280971343,99.43111102514335,98.30995727795853,98.71851348876953,6235900
2018-03-15,98.81351620725378,99.08905476654782,98.09141540527344,98.09141540527344,5174600
2018-03-16,98.39546056475612,99.07005199546484,97.7113658043426,97.73987579345703,10468000
2018-03-19,97.67336841198299,97.81588211505644,95.9631314859343,96.41919708251953,6528300
2018-03-20,96.47620421058885,97.05578410937002,95.72560061628346,96.2956771850586,8330300
2018-03-21,96.43819197585809,97.80638145260725,96.36217983850172,96.74223327636719,6136400
2018-03-22,96.2386608144787,96.57120483789733,95.40254909146674,95.58306884765625,8911600
2018-03-23,95.82060664098282,96.06764246446821,93.5402932485338,93.62580871582031,7505100
2018-03-26,94.87998115660457,95.75409900559438,94.13888092598641,95.63058471679688,7340100
2018-03-27,95.84910922782255,96.13415111976849,93.9583526080694,94.40491485595703,7193500
2018-03-28,94.53793262301663,95.08900974890079,93.25525860505044,93.62580871582031,9099700
2018-03-29,94.07237458295812,96.22916652216826,93.92985363127609,95.43106079101562,9343600
2018-04-02,95.18401669199433,95.95361961575952,92.90370340986043,93.73982238769531,8203700
2018-04-03,93.87283815667054,94.528422866349,92.82768945487771,94.4619140625,8484700
2018-04-04,93.52129452854305,96.10564924245844,92.88470917959204,95.91561889648438,8759200
2018-04-05,96.30517140408067,97.2743007544219,95.94412463609396,97.01776885986328,6612800
2018-04-06,96.56171586002526,97.0937936254888,94.49043202914754,95.34555053710938,7162400
2018-04-09,95.67808097908625,96.44769115106725,94.6139400975972,94.72795104980469,7094300
2018-04-10,95.88711915172728,96.46669903944675,95.31704259383247,96.31468200683594,8116800
2018-04-11,95.75411040401892,96.58072620137025,95.40256690601088,95.77311706542969,6305000
2018-04-12,96.36217760871482,96.44769307349105,94.70895352850887,95.383544921875,7337800
2018-04-13,95.96313652891054,96.45720097300119,95.1650307540909,95.34555053710938,6324600
2018-04-16,95.66857534808345,95.96311327710283,94.7564515769036,95.24101257324219,10328000
2018-04-17,96.15314092329736,97.47382087612897,95.72558537701099,97.07476806640625,9577400
2018-04-18,97.54984765415617,97.58785372491988,96.15315536148613,96.16265869140625,5822100
2018-04-19,95.9631192994115,96.51419637770238,95.22201914187625,95.85860443115234,6803400
2018-04-20,96.13413693725626,96.3431666606566,94.92747523705704,95.24101257324219,6396900
2018-04-23,95.53557867430835,95.6970990417956,94.566441971551,95.15552520751953,5889800
2018-04-24,95.564087287453,95.82061922517018,93.92986235409205,94.49993896484375,6567700
2018-04-25,94.53794339585214,96.42870023407234,94.11038775744785,96.10565948486328,8977700
2018-04-26,96.18165682646112,96.32417051804775,94.76595799942723,94.86096954345703,8038400
2018-04-27,94.80395439239736,95.0034807891738,94.00584880529159,94.28138732910156,8038000
2018-04-30,95.4025654914078,96.31468950483072,95.1270268963763,95.32655334472656,8558900
2018-05-01,95.18402553604011,95.67808995609911,93.99636301300552,95.07000732421875,6716200
2018-05-02,95.17452180948608,95.69709621701,94.30040393591585,94.6519546508789,9286400
2018-05-03,94.16738291044918,94.30040052775385,92.80869674890876,93.8348388671875,10450800
